<Traits>	group	L	PA	SA	AD	RV	Ti	Fo	Cr	L_PR	PA_PR	SA_PR	AD_PR	RV_PR	Ti_PR	Fo_PR	Cr_PR
81162	temperate	236.49	11.87	37.28	0.49	0.47	618.5	1143.5	147.65	184.79	8.92	28.03	0.48	0.34	398	915	NA
7327	temperate	548.6	28.11	88.3	0.45	0.89	1302.67	2211.33	171.43	272.33	10.89	34.23	0.4	0.34	551.5	934	NA
7381	temperate	259.81	14.34	45.05	0.55	0.63	606.67	718	137.07	120.6	5.91	18.58	0.49	0.23	282	356.33	NA
5237	temperate	393.82	18.82	59.12	0.48	0.73	1088	1637	NA	247.18	11.03	34.66	0.45	0.4	568	1083	NA
CIMBL99	tropical/subtropical	838.58	19.55	61.41	0.36	0.85	1219	5145.67	37.87	549.77	12.21	61.51	0.35	0.33	752.5	3469.67	280.99
CIMBL111	tropical/subtropical	808.28	31.9	100.2	0.39	0.99	1636	4407	357.38	492.66	19.24	60.44	0.39	0.59	873	2810.33	255.95
CIMBL17	tropical/subtropical	1040.68	32.4	101.78	0.31	0.8	2157.33	5679	240.15	475.25	13.7	43.04	0.29	0.27	805	2364.33	244.48
CML114	tropical/subtropical	608.57	32.82	103.1	0.52	1.39	515	1855	262.33	439.19	22.82	71.69	0.5	0.93	307.67	1508.33	229.67
SY1035	temperate	653.78	29.64	93.11	0.46	1.06	1260.67	2172.5	313.5	385.48	16.19	50.86	0.39	0.48	483	965	177
CIMBL145	tropical/subtropical	480.03	22.61	71.03	0.45	0.84	571.67	1694	253	330.45	14.34	45.05	0.46	0.5	312	1007.67	167.33
ES40	temperate	853.48	36.33	114.15	0.45	1.3	1256.67	3034	417.33	303.78	14.02	44.04	0.41	0.47	397.67	953.33	162.67
GEMS21	temperate	611.9	27.9	87.64	0.45	0.93	1060	1893.67	234.67	315.36	11.9	37.39	0.38	0.35	380	770.33	162.67
CIMBL63	tropical/subtropical	683.74	31.02	97.45	0.45	1.11	885.67	1972.33	203.84	303.03	13.2	41.47	0.44	0.47	376	663.33	158.12
CML480	tropical/subtropical	601.89	21.13	66.39	0.34	0.56	1614	2698.5	106.22	301.52	8.55	26.85	0.28	0.19	658.33	1099	155.04
M153	temperate	530.28	29.93	94.01	0.57	1.33	559.33	1699.33	187	245.64	13.12	41.21	0.52	0.67	303	957.5	149
GEMS63	temperate	483.82	25.08	78.79	0.54	0.82	365	693	195	297.84	13.97	43.9	0.49	0.52	286.67	912.33	148.33
150	temperate	413.77	16.32	51.28	0.39	0.51	820	1517	142.74	273.92	9.65	30.33	0.35	0.27	467	979	144.52
L3180	temperate	473.29	18.5	58.11	0.39	0.57	904	1568.5	96.03	275.48	9.44	29.66	0.35	0.25	437.5	831.5	142.46
4F1	temperate	430.52	16.48	51.78	0.45	0.66	561.67	1269	245.89	272.26	10.77	33.85	0.41	0.34	230.5	790.33	141.51
CML325	tropical/subtropical	744.25	38.52	121.02	0.52	1.57	1164	2817.5	293	317.14	15.04	47.25	0.48	0.56	473.5	1108.5	132.5
CML115	tropical/subtropical	517.07	25.78	81	0.5	1.01	659.67	1657.67	271.42	251.91	11.79	37.04	0.47	0.43	206.5	792	131.85
LIAO159	temperate	531.63	22.98	72.2	0.46	0.86	1098.33	1987	277.31	253.35	10.27	32.25	0.41	0.34	485	1033.67	131.81
647	tropical/subtropical	516.16	22.82	71.71	0.44	0.79	679.67	1401	187	339.45	14.63	45.95	0.43	0.5	379.33	850.33	131.33
GEMS44	temperate	723.6	46.08	144.75	0.65	2.31	1116.67	2879.33	219.67	299.18	16.42	51.6	0.53	0.77	471	1473	128
LIAO5263	temperate	354.24	16.18	50.83	0.46	0.58	392.67	889	139	244.85	10.44	32.81	0.43	0.35	226.67	554	127.5
B110	temperate	488.17	21.86	68.69	0.45	0.77	737	1746.5	208	280.4	11.48	36.08	0.41	0.37	356.5	873.5	126
GEMS62	temperate	460.45	23.05	72.43	0.5	0.79	516.5	1332.67	187.67	225.29	9.93	31.18	0.46	0.36	219	676.67	123.33
WU109	temperate	655.61	32.22	101.23	0.48	1.38	968.5	2510.5	271.33	231.06	9.62	30.21	0.41	0.27	348.33	705.33	122.33
YE515	temperate	347.2	16.46	51.71	0.47	0.61	377.5	879	131	263.91	11.06	34.75	0.42	0.36	274.5	663	120
CML426	tropical/subtropical	701.81	40.79	128.13	0.58	1.71	1306.67	2722.33	197	412.11	19.12	60.05	0.55	0.82	691.5	1445.67	119.67
TIE7922	temperate	464.44	17.75	55.75	0.38	0.54	743.33	1912	241.09	231.23	7.98	25.07	0.32	0.22	413.33	938.33	119.6
SI273	temperate	432.06	16.85	52.95	0.39	0.52	982	1938	158.4	228.78	7.62	23.94	0.33	0.2	489	771	118.2
CIMBL106	tropical/subtropical	281.86	13.45	42.25	0.48	0.5	594	1387	NA	223.78	10.33	32.46	0.46	0.38	452	1113	117.06
XI502	temperate	499.67	22.98	72.19	0.46	0.83	1002	2059.67	261.33	223.88	9.78	30.74	0.41	0.32	400.67	915	116.83
CIMBL7	tropical/subtropical	372.22	19.67	61.8	0.53	0.82	505.67	1219.67	250.96	215.22	10.89	34.22	0.5	0.43	228	726.67	113.06
GEMS13	temperate	769.58	40.06	125.84	0.52	1.64	1467.33	2928	294	291.38	14	43.98	0.48	0.53	518.33	914.67	113
05W002	temperate	913.44	42.93	134.87	0.48	1.61	1703	3301.67	315	248.88	10.96	34.43	0.42	0.42	731.67	774.5	112.5
SY1032	temperate	520.45	23.17	72.78	0.46	0.83	687.67	1625.67	227.67	246.17	10.57	33.22	0.46	0.37	264	607.33	112.33
ZHI41	temperate	398	18.92	59.45	0.49	0.73	699.33	1297.5	142.33	225.42	10.03	31.5	0.45	0.38	340.67	678.67	112
ZHENG35	temperate	306.84	13.91	43.71	0.46	0.5	806	1364.5	223.5	212.04	9.18	28.84	0.44	0.31	512.5	933.5	110.61
FCD0602	temperate	687.95	35.4	111.2	0.52	1.44	952	2310.5	318	216.66	10.74	33.73	0.53	0.43	274	763.5	110.5
177	temperate	250.1	13.23	41.56	0.57	0.56	403.33	778.33	146.78	147.19	6.99	21.96	0.51	0.27	212	476.67	110.39
CIMBL71	tropical/subtropical	457.9	22.39	70.35	0.49	0.86	781	1558	171.27	211.7	8.92	28.02	0.42	0.3	406	776	110.31
