trait	group	DPRMaZ	SAPRMaZ	SDAPRMaZ	SSAPRMaZ	CDPRMaZ	CSAPRMaZ	XNPRMaZ	XADPRMaZ	XASAPRMaZ	PNPRMaZ	PADPRMaZ	PASAPRMaZ	DPRMZ	SAPRMZ	SDAPRMZ	SSAPRMZ	CDPRMZ	CSAPRMZ	XNPRMZ	XADPRMZ	XASAPRMZ	PNPRMZ	PADPRMZ	PASAPRMZ	DPREZ	SAPREZ	SDAPREZ	SSAPREZ	CDPREZ	CSAPREZ	XNPREZ	XADPREZ	XASAPREZ	PNPREZ	PADPREZ	PASAPREZ	DLRMaZ	SALRMaZ	SDALRMaZ	SSALRMaZ	CDLRMaZ	CSALRMaZ	XNLRMaZ	XADLRMaZ	XASALRMaZ	PNLRMaZ	PADLRMaZ	PASALRMaZ	DLRMZ	SALRMZ	SDALRMZ	SSALRMZ	CDLRMZ	CSALRMZ	XNLRMZ	XADLRMZ	XASALRMZ	PNLRMZ	PADLRMZ	PASALRMZ	DLREZ	SALREZ	SDALREZ	SSALREZ	CDLREZ	CSALREZ	XNLREZ	XADLREZ	XASALREZ	PNLREZ	PADLREZ	PASALREZ	DCRMaZ	SACRMaZ	SDACRMaZ	SSACRMaZ	CDCRMaZ	CSACRMaZ	XNCRMaZ	XADCRMaZ	XASACRMaZ	PNCRMaZ	PADCRMaZ	PASACRMaZ	DCRMZ	SACRMZ	SDACRMZ	SSACRMZ	CDCRMZ	CSACRMZ	XNCRMZ	XADCRMZ	XASACRMZ	PNCRMZ	PADCRMZ	PASACRMZ	DCREZ	SACREZ	SDACREZ	SSACREZ	CDCREZ	CSACREZ	XNCREZ	XADCREZ	XASACREZ	PNCREZ	PADCREZ	PASACREZ
CIMBL42	tropical/subtropical	0.1025	0.008	0.0415	0.001	610	700000	7	0.009357143	6.66E-05	15	0.0018	2.74E-06	0.1035	0.009	0.044	0.001	595	800000	6	0.007333333	4.45E-05	16	0.00225	5.01E-06	0.1045	0.009	0.0435	0.002	610	700000	6	0.010083333	0.000075775	15	0.0018	3.52E-06	0.037	87580	0.013	0.0001242	240	0.001	1	0.004	0.00001386	6	0.001666667	0.000001927	0.043	0.002	0.012	0.0001162	310	188380	1	0.0035	0.00001095	7	0.001142857	1.66E-06	0.046	0.002	0.015	0.0001801	310	181990	1	0.006	0.00002704	6	0.001833333	2.83E-06	0.092	0.007	0.04	0.001	520	600000	6	0.009333333	7.10E-05	14	0.002071429	3.71E-06	0.105	0.008	0.003857143	0.001	1011.428571	700000	6	0.00725	4.07E-05	17	0.002058824	3.78E-06	0.0995	0.008	0.0435	0.002	560	600000	7	0.009642857	7.43E-05	17	0.002	3.74E-06
GEMS65	temperate	0.0705	0.004	0.028	0.0006139	425	338610	NA	NA	NA	12	0.00175	2.19E-06	0.083	0.005	0.0355	0.0009873	475	401270	4	0.009625	0.000078175	13	0.002	3.56E-06	0.078	0.005	0.0305	0.0007356	475	426440	5	0.0077	0.000042604	11	0.00175	2.37E-06	0.052	175570	0.0175	0.0002443	345	0.002	1	0.0075	0.0000486	7	0.001714286	2.10E-06	0.058	0.003	0.0175	0.0002353	405	276470	1	0.006	0.00003266	7	0.001857143	2.54E-06	0.0615	0.003	0.0205	0.0003481	410	265190	1	0.0085	0.00005523	7	0.002	3.20E-06	0.1055	0.009	0.046	0.002	595	700000	7	0.0095	0.00007056	15	0.0018	3.36E-06	0.104	0.008	0.004238095	0.002	997.6190476	600000	5	0.01	0.00008355	15	0.0016	0.000003069	0.123	0.011	0.052	0.002	710	900000	7	0.010928571	9.42E-05	16	0.001740731	2.78E-06
CIMBL129	tropical/subtropical	0.0795	0.005	0.036	0.001	435	400000	4	0.010794376	8.88E-05	13	0.002615385	4.69E-06	0.077	0.005	0.036	0.0009711	410	402890	4	0.00725	4.16E-05	11	0.002181818	3.72E-06	0.087	0.006	0.0365	0.001	505	500000	4	0.010375	8.32E-05	13	0.002769231	5.03E-06	0.072	335380	0.0285	0.0006462	435	0.004	5	0.0073	4.51E-05	10	0.0025	0.000003416	0.0635	0.003	0.026	0.0005238	375	247620	3	0.006666667	3.52E-05	10	0.0026	0.000004846	0.0715	0.004	0.027	0.0006184	445	338160	3	0.008333333	5.60E-05	9	0.002888889	5.52E-06	0.095	0.007	0.0415	0.001	535	600000	4	0.01	0.000069085	14	0.002425943	4.81E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BY4839	temperate	0.079	0.005	0.0375	0.001	415	400000	6	0.008833333	0.000059955	15	0.002466667	3.59E-06	0.0875	0.006	0.0385	0.001	490	500000	6	0.007333333	0.0000415	15	0.001930967	3.38E-06	0.0835	0.006	0.037	0.001	465	500000	6	0.008666667	5.94E-05	15	0.002066667	3.35E-06	0.035	87590	0.0115	0.0001241	235	0.001	2	0.00525	0.000017555	6	0.001114483	9.37E-07	0.0365	0.001	0.011	0.00009895	255	90105	1	0.0055	0.00002443	6	0.001	1.11E-06	0.044	0.002	0.016	0.0001861	280	181390	1	0.0075	0.0000396	7	0.001857143	2.21E-06	0.0945	0.007	0.0365	0.001	580	600000	6	0.009166667	6.57E-05	16	0.0018125	2.90E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0865	0.006	0.0365	0.001	500	500000	5	0.0102	0.000074516	15	0.0022	3.81E-06
CIMBL54	tropical/subtropical	0.076	0.004	0.031	0.0007891	450	321090	4	0.008	0.00005114	11	0.002	3.03E-06	0.083	0.005	0.0355	0.0009618	475	403820	3	0.009666667	7.01E-05	11	0.002181818	4.33E-06	0.092	0.006	0.038	0.001	540	500000	5	0.0081	0.000050634	11	0.002636364	5.17E-06	0.0355	78610	0.0165	0.0002139	190	0.001	1	0.0075	0.00004493	6	0.002	3.10E-06	0.059	0.003	0.022	0.0004321	370	256790	3	0.007	2.80E-05	9	0.002	3.08E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.085	0.006	0.0355	0.0009956	495	500440	4	0.00925	6.48E-05	10	0.0025	4.86E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0785	0.005	0.0355	0.001	430	400000	4	0.009125	6.47E-05	10	0.0029	5.83E-06
05WN230	temperate	0.088	0.006	0.037	0.001	510	500000	6	0.00725	4.27E-05	14	0.002571429	4.61E-06	0.083	0.006	0.0355	0.0009982	475	500180	5	0.0081	0.000047732	13	0.002923077	5.35E-06	0.106	0.009	0.0415	0.001	645	800000	5	0.0083	0.000052752	15	0.002571429	6.84E-06	0.045	178220	0.0165	0.0002178	285	0.002	2	0.006	0.00002897	7	0.001714286	0.000001884	0.039	0.001	0.018	0.0002499	210	75010	2	0.0055	0.000024175	9	0.001777778	2.11E-06	0.05	0.002	0.017	0.000237	330	176300	2	0.006	0.0000248	7	0.001857143	2.53E-06	0.095	0.007	0.0405	0.001	545	600000	5	0.0093	0.00006458	15	0.002266667	3.91E-06	0.1	0.008	0.003809524	0.001	961.9047619	700000	6	0.008166667	5.32E-05	14	0.002714286	5.85E-06	0.0995	0.008	0.039	0.001	605	700000	6	0.008416667	0.00005516	14	0.002785714	5.27E-06
CIMBL127	tropical/subtropical	0.108	0.009	0.0395	0.001	685	800000	5	0.0102	0.000076138	13	0.002843954	4.26E-06	0.0855	0.006	0.032	0.0007795	535	522050	4	0.006625	3.62E-05	12	0.002416667	4.70E-06	0.092	0.007	0.033	0.0008536	590	614640	5	0.0099	0.000063642	13	0.002843954	3.88E-06	0.0575	274050	0.0185	0.0002595	390	0.003	1	0.0065	0.00003276	5	0.0022	3.95E-06	0.0415	0.001	0.0135	0.0001503	280	84970	1	0.0045	0.00002051	6	0.001666667	2.07E-06	0.057	0.003	0.018	0.0002629	390	273710	1	0.007	0.00003998	7	0.002571429	4.85E-06	0.102	0.008	0.037	0.001	650	700000	6	0.0095	6.41E-05	15	0.002533333	4.25E-06	0.0935	0.007	0.003047619	0.0008179	904.5238095	618210	5	0.0061	0.00003367	13	0.002076923	3.88E-06	0.098	0.008	0.0355	0.0009732	625	702680	5	0.0089	0.000057944	14	0.002214286	3.88E-06
BY855	temperate	0.0975	0.008	0.034	0.0009506	635	704940	4	0.007625	4.65E-05	12	0.001666667	2.06E-06	0.083	0.006	0.035	0.0009914	480	500860	5	0.0094	0.000068382	12	0.002833333	4.70E-06	0.0895	0.006	0.0335	0.000911	560	508900	4	0.008875	5.99E-05	12	0.001666667	4.00E-06	0.0495	178930	0.016	0.0002107	335	0.002	3	0.004666667	1.48E-05	7	0.001714286	2.13E-06	0.0475	0.002	0.0165	0.0002034	310	179660	2	0.0055	0.000025065	9	0.001444444	1.52E-06	0.0455	0.002	0.0165	0.0001998	290	180020	2	0.00625	0.00002969	9	0.001444444	1.66E-06	0.089	0.006	0.0415	0.001	475	500000	7	0.009571429	6.36E-05	15	0.0022	3.62E-06	0.103	0.008	0.004	0.001	990	700000	7	0.008928571	5.96E-05	14	0.002285714	4.59E-06	0.0985	0.008	0.041	0.001	575	700000	6	0.00975	7.49E-05	15	0.0024	4.07E-06
CIMBL56	tropical/subtropical	0.0945	0.007	0.038	0.001	565	600000	4	0.009125	6.87E-05	11	0.002545455	4.74E-06	0.082	0.006	0.032	0.0008317	500	516830	4	0.007375	0.00004275	11	0.002454545	0.000004263	0.0855	0.006	0.035	0.0009413	505	505870	4	0.009375	0.00006658	12	0.002166667	3.64E-06	0.032	71485	0.0105	0.00008575	215	0.0008006	1	0.0035	0.00001121	5	0.0012	1.53E-06	0.0255	0.0005208	0.01	0.00007659	155	44421	1	0.004	0.00001101	5	0.00096194	7.45E-07	0.028	0.0006449	0.01	0.00007252	180	57238	1	0.0035	0.000009943	5	0.0009951	9.74E-07	0.102	0.008	0.0375	0.001	645	700000	4	0.008875	0.00006264	11	0.002363636	4.80E-06	0.0905	0.006	0.003809524	0.001	866.9047619	500000	3	0.008833333	0.00006438	12	0.002666667	5.08E-06	0.093	0.007	0.039	0.001	540	600000	4	0.00975	7.44E-05	12	0.002058824	3.25E-06
JY01	temperate	0.1	0.008	0.0465	0.002	535	600000	8	0.0076875	0.000050215	16	0.0028125	7.05E-06	0.0935	0.007	0.051	0.002	425	500000	7	0.008285714	5.09E-05	17	0.003058824	7.53E-06	0.078	0.005	0.039	0.001	390	400000	6	0.007666667	0.00004381	16	0.0024375	4.75E-06	0.0405	86560	0.0125	0.0001344	280	0.001	2	0.004	1.15E-05	6	0.001666667	1.59E-06	0.036	0.0009797	0.011	0.00009308	250	88662	1	0.0035	0.00001004	5	0.0014	1.74E-06	0.042	0.001	0.0125	0.0001166	295	88340	1	0.005	0.0000179	6	0.001833333	0.000002187	0.098	0.007	0.047	0.002	510	500000	7	0.008642857	6.11E-05	17	0.002823529	0.000005911	0.099	0.008	0.004761905	0.002	942.3809524	600000	5	0.0105	0.00008345	17	0.003294118	7.52E-06	0.1015	0.008	0.0495	0.002	520	600000	7	0.009357143	0.00006851	17	0.003	6.60E-06
SY1035	temperate	0.08	0.005	0.032	0.0008164	480	418360	4	0.008125	0.00005453	12	0.002416667	4.51E-06	0.0635	0.003	0.026	0.0005465	375	245350	4	0.005875	2.89E-05	13	0.002	3.28E-06	0.0755	0.005	0.03	0.0007587	455	424130	4	0.00775	4.83E-05	12	0.002416667	3.80E-06	0.0365	85080	0.014	0.0001492	225	0.001	1	0.005	0.00002278	6	0.001833333	2.38E-06	0.0305	0.0007895	0.0135	0.0001547	170	63480	2	0.003	0.000007964	6	0.001166667	1.77E-06	0.0395	0.001	0.0145	0.0001839	250	81610	2	0.00475	0.00001774	6	0.001833333	0.000002169	0.097	0.007	0.047	0.002	500	500000	7	0.0085	6.01E-05	20	0.002	3.86E-06	0.087	0.006	0.00347619	0.001	835.2380952	500000	6	0.00775	4.88E-05	17	0.001823529	2.89E-06	0.091	0.007	0.041	0.001	500	600000	6	0.009333333	6.76E-05	18	0.001944444	3.24E-06
CIMBL59	tropical/subtropical	0.0785	0.005	0.0345	0.0009347	440	406530	4	0.009	6.45E-05	15	0.002133333	3.44E-06	0.081	0.005	0.0335	0.000889	475	411100	4	0.008625	5.68E-05	14	0.001928571	2.57E-06	0.071	0.004	0.0315	0.0008018	395	319820	4	0.007875	4.72E-05	13	0.002	2.92E-06	0.037	85880	0.0135	0.0001412	235	0.001	2	0.005	0.000018055	8	0.00119075	1.05E-06	0.0405	0.001	0.013	0.0001285	275	87150	2	0.00425	0.000013145	7	0.000996043	1.20E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.081	0.005	0.0435	0.001	375	400000	8	0.0085625	5.98E-05	17	0.001588235	2.56E-06	0.0835	0.006	0.003238095	0.0009354	802.6190476	506460	4	0.008125	0.000053465	15	0.0018	2.52E-06	0.0775	0.005	0.033	0.0008552	445	414480	4	0.009125	6.40E-05	15	0.0017503	2.20E-06
CML327	tropical/subtropical	0.092	0.007	0.0345	0.0009572	575	604280	4	0.008875	6.21E-05	14	0.002714286	5.44E-06	0.0755	0.004	0.0325	0.0008592	430	314080	4	0.007875	5.13E-05	14	0.002357143	4.71E-06	0.0875	0.006	0.034	0.0009438	535	505620	4	0.009375	6.78E-05	14	0.002714286	0.000004886	0.038	81260	0.015	0.0001874	230	0.001	2	0.00525	0.000021435	8	0.001875	2.19E-06	0.048	0.002	0.0185	0.000267	295	173300	5	0.0043	1.35E-05	8	0.00175	2.36E-06	0.0475	0.002	0.018	0.0002775	295	172250	2	0.007	0.00003474	9	0.002	2.88E-06	0.084	0.006	0.034	0.0008992	500	510080	5	0.0086	0.000059432	17	0.001823529	2.62E-06	0.082	0.006	0.003380952	0.001	786.1904762	500000	6	0.007666667	0.000047575	16	0.0024375	4.64E-06	0.0895	0.006	0.0335	0.0009707	560	502930	5	0.0082	0.000056546	15	0.0022	3.34E-06
GEMS56	temperate	0.076	0.004	0.0295	0.0006885	465	331150	4	0.007625	0.000051245	11	0.002454545	3.95E-06	0.0805	0.005	0.0275	0.0006262	530	437380	3	0.008333333	5.58E-05	10	0.0021	3.18E-06	0.073	0.004	0.028	0.0006476	450	335240	3	0.008166667	5.49E-05	12	0.002083333	2.78E-06	0.0405	82710	0.0145	0.0001729	260	0.001	1	0.007	0.00003567	6	0.001829083	1.97E-06	0.0365	0.001	0.014	0.0001662	225	83380	1	0.0055	0.00002571	6	0.0015	1.73E-06	0.049	0.002	0.0175	0.0002385	315	176150	2	0.00625	0.00003289	8	0.001625	1.60E-06	0.085	0.006	0.035	0.000943	500	505700	6	0.0085	0.000058945	12	0.002083333	2.87E-06	0.086	0.006	0.002714286	0.0006386	832.8571429	536140	3	0.0085	0.0000509	11	0.001909091	3.01E-06	0.0805	0.005	0.032	0.0008095	485	419050	6	0.00775	0.000047935	13	0.001605654	2.19E-06
JH59	temperate	0.119	0.01	0.0415	0.001	775	900000	5	0.009	0.000067656	13	0.002846154	7.08E-06	0.117	0.009	0.043	0.001	740	800000	7	0.009142857	6.32E-05	14	0.002642857	5.32E-06	0.1135	0.01	0.0445	0.001	690	900000	5	0.0107	0.000085952	13	0.002846154	6.92E-06	0.049	179090	0.0165	0.0002091	325	0.002	2	0.0045	0.00001604	7	0.001857143	2.43E-06	0.0535	0.002	0.017	0.0002395	365	176050	4	0.004125	0.00001366	9	0.000984667	1.18E-06	0.0575	0.003	0.0205	0.0003255	370	267450	4	0.00575	2.44E-05	9	0.001666667	1.99E-06	0.106	0.008	0.0475	0.002	585	600000	9	0.0085	5.84E-05	19	0.002	3.67E-06	0.1115	0.009	0.004142857	0.001	1073.571429	800000	8	0.0069375	4.10E-05	17	0.002	3.58E-06	0.124	0.01	0.051	0.002	730	800000	9	0.010055556	0.00007401	19	0.001947368	3.60E-06
R15X1141	temperate	0.0885	0.007	0.04	0.001	485	600000	5	0.0085	0.000054702	13	0.002307692	4.42E-06	0.078	0.005	0.035	0.001	430	400000	4	0.008625	0.000051605	13	0.002076923	3.82E-06	0.0895	0.006	0.041	0.001	485	500000	6	0.00825	5.30E-05	11	0.002307692	4.22E-06	0.0275	53720	0.0125	0.0001145	150	0.0006517	3	0.0035	0.00000656	7	0.001	1.14E-06	0.0245	0.0005106	0.01	0.000074	145	43660	2	0.002	3.40E-06	6	0.00093225	8.74E-07	0.023	0.0004478	0.0125	0.00013	105	31780	3	0.003	6.12E-06	8	0.000960538	1.18E-06	0.112	0.009	0.0575	0.003	545	600000	10	0.0086	0.000058172	20	0.002	2.87E-06	0.0825	0.005	0.004333333	0.002	781.6666667	300000	7	0.006357143	3.21E-05	19	0.001081021	1.78E-06	0.1055	0.008	0.052	0.002	535	600000	9	0.007944444	4.81E-05	20	0.001849315	2.16E-06
835B	temperate	0.0885	0.006	0.0335	0.0009036	550	509640	6	0.006833333	3.70E-05	12	0.001833333	3.15E-06	0.1045	0.008	0.0405	0.001	640	700000	5	0.009	0.000069278	14	0.0025	5.52E-06	0.097	0.008	0.0395	0.001	575	700000	5	0.0095	0.00007221	13	0.001833333	4.80E-06	0.037	84920	0.014	0.0001508	230	0.001	1	0.005	0.00002271	5	0.002	2.04E-06	0.0365	0.001	0.013	0.000129	235	87100	1	0.005	0.00001975	5	0.0014	2.07E-06	0.033	0.0009264	0.0125	0.0001134	205	81300	1	0.005	0.00001795	6	0.001166667	1.56E-06	0.087	0.006	0.035	0.001	520	500000	5	0.0086	0.000057078	15	0.002	3.30E-06	0.0915	0.007	0.003285714	0.001	882.1428571	600000	4	0.00875	0.00006297	13	0.002307692	4.47E-06	0.085	0.006	0.0355	0.0009755	495	502450	5	0.008	0.000050466	14	0.002142857	3.65E-06
YE52106	temperate	0.077	0.005	0.034	0.0009283	430	407170	6	0.007583333	0.00004476	12	0.0025	4.65E-06	0.0705	0.004	0.029	0.000719	415	328100	5	0.0063	0.00003409	13	0.002	3.79E-06	0.0795	0.005	0.0355	0.0009711	440	402890	5	0.0078	0.000050352	12	0.0025	6.06E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0865	0.006	0.0395	0.001	470	500000	7	0.008428571	5.68E-05	14	0.0025	4.70E-06	0.062	0.003	0.002714286	0.0006288	592.8571429	237120	5	0.0058	0.00002579	13	0.001923077	3.39E-06	0.0845	0.006	0.037	0.001	475	500000	6	0.007916667	5.25E-05	15	0.0018	2.84E-06
CIMBL40	tropical/subtropical	0.0845	0.006	0.0295	0.0006887	550	531130	2	0.00925	0.00007102	12	0.0025	4.06E-06	0.0875	0.006	0.029	0.000644	585	535600	3	0.007333333	4.42E-05	11	0.002272727	4.39E-06	0.0825	0.006	0.0285	0.0006528	540	534720	3	0.008	5.21E-05	11	0.0025	3.45E-06	0.0375	89180	0.0115	0.0001082	260	0.001	1	0.005	0.00002017	7	0.001244986	1.37E-06	0.032	0.0008957	0.0115	0.00009969	205	79601	1	0.004	0.00001207	6	0.001485067	1.66E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0795	0.005	0.031	0.0007943	485	420570	4	0.008375	0.00005663	14	0.002	3.03E-06	0.088	0.006	0.002809524	0.0007021	851.9047619	529790	3	0.008333333	5.51E-05	12	0.002083333	3.52E-06	0.0945	0.007	0.033	0.0008136	615	618640	3	0.009333333	6.78E-05	13	0.002461538	4.04E-06
YE478	temperate	0.1165	0.009	0.0445	0.002	720	700000	6	0.00975	0.000075205	16	0.00225	3.80E-06	0.0985	0.008	0.04	0.001	585	700000	7	0.006214286	0.0000245	16	0.0018125	2.37E-06	0.11	0.009	0.04	0.001	700	800000	7	0.008	0.00005059	16	0.00225	3.32E-06	0.0455	181120	0.0155	0.0001888	300	0.002	2	0.00375	1.29E-05	8	0.00125	1.71E-06	0.055	0.002	0.0175	0.0002509	375	174910	3	0.003166667	0.000008767	9	0.001100589	1.11E-06	0.055	0.002	0.016	0.000215	390	178500	3	0.004	7.37E-06	7	0.001142857	1.63E-06	0.1045	0.009	0.044	0.002	605	700000	8	0.008375	5.54E-05	19	0.001683132	2.17E-06	0.0975	0.008	0.004	0.001	935	700000	7	0.007	3.86E-05	19	0.001736842	2.87E-06	0.11	0.009	0.043	0.001	670	800000	8	0.0074375	0.00004657	19	0.001736842	2.66E-06
CML114	tropical/subtropical	0.0855	0.006	0.041	0.001	445	500000	6	0.007583333	4.90E-05	15	0.0022	4.13E-06	0.0775	0.005	0.0355	0.001	420	400000	5	0.0074	0.000044986	15	0.001733333	2.06E-06	0.081	0.005	0.041	0.001	400	400000	5	0.009	0.000061338	19	0.002052632	3.48E-06	0.0565	256240	0.0235	0.0004376	330	0.003	3	0.0075	0.00003947	9	0.002	0.000002318	0.0605	0.003	0.0245	0.0004789	360	252110	3	0.006666667	3.20E-05	12	0.001916667	2.26E-06	0.059	0.003	0.0225	0.0004101	365	258990	1	0.009	0.00006903	8	0.002125	2.40E-06	0.071	0.005	0.036	0.000999	350	400100	5	0.0083	0.000055332	17	0.001764706	2.16E-06	0.077	0.005	0.003285714	0.0008815	737.1428571	411850	5	0.0062	0.000029982	14	0.001409107	2.02E-06	0.079	0.005	0.037	0.001	420	400000	5	0.0084	0.000054448	18	0.001833333	3.29E-06
ZONG31	temperate	0.082	0.005	0.0365	0.001	455	400000	7	0.0085	5.91E-05	14	0.001928571	2.47E-06	0.087	0.006	0.0355	0.001	515	500000	8	0.007125	3.87E-05	15	0.002066667	3.21E-06	0.0865	0.006	0.0365	0.001	500	500000	7	0.007571429	4.53E-05	15	0.0018	0.000002708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0655	0.003	0.029	0.0006848	365	231520	4	0.008125	0.00005515	13	0.002076923	2.74E-06	0.065	0.003	0.002619048	0.0006559	623.8095238	234410	4	0.00775	4.81E-05	14	0.001928571	NA	0.065	0.003	0.027	0.000602	380	239800	4	0.00775	0.00004725	13	0.001846154	2.28E-06
CIMBL123	tropical/subtropical	0.082	0.005	0.0305	0.0007376	515	426240	4	0.008	4.92E-05	13	0.001923077	3.24E-06	0.085	0.006	0.031	0.0007374	540	526260	4	0.007625	4.79E-05	13	0.001923077	3.04E-06	0.0765	0.004	0.036	0.001	405	300000	4	0.009375	0.000057565	11	0.002727273	5.60E-06	0.047	182240	0.015	0.0001776	320	0.002	1	0.007	0.00004336	7	0.002	1.83E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.047	0.002	0.015	0.0001763	320	182370	1	0.0075	0.00004391	7	0.001714286	0.00000212	0.087	0.006	0.034	0.0008908	530	510920	4	0.008375	0.000054465	14	0.001857143	0.000002817	0.0895	0.006	0.003095238	0.0007984	864.047619	520160	4	0.008375	5.19E-05	13	0.001538462	2.32E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML189	tropical/subtropical	0.093	0.007	0.035	0.0009889	580	601110	5	0.0073	0.000044146	15	0.002	3.53E-06	0.075	0.005	0.0335	0.0009071	415	409290	5	0.0075	0.000045518	14	0.001639779	2.02E-06	0.102	0.008	0.0375	0.001	645	700000	4	0.00925	0.00007701	14	0.002142857	3.86E-06	0.0435	176770	0.017	0.0002323	265	0.002	2	0.006	0.000027725	8	0.001375	1.39E-06	0.0445	0.002	0.0155	0.0001941	290	180590	1	0.0075	0.00004007	9	0.001888889	1.94E-06	0.0435	0.002	0.0185	0.0002579	250	174210	3	0.005	2.10E-05	8	0.001625	2.67E-06	0.0785	0.005	0.039	0.001	395	400000	6	0.008166667	5.39E-05	16	0.0018125	3.15E-06	0.098	0.008	0.003333333	0.001	946.6666667	700000	4	0.0095	6.94E-05	18	0.002034839	3.16E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GEMS39	temperate	0.0955	0.007	0.036	0.0009968	595	600320	4	0.009875	0.00007258	14	0.002428571	4.83E-06	0.0875	0.006	0.0355	0.001	520	500000	4	0.008375	0.000052655	14	0.002357143	4.32E-06	0.091	0.007	0.035	0.001	560	600000	4	0.00975	0.00007286	15	0.002428571	0.000004353	0.0285	66844	0.009	0.00005906	195	0.0007275	1	0.003	0.000007869	7	0.000913871	8.15E-07	0.021	0.0003633	0.008	0.00005656	130	30674	1	0.002	0.000005024	6	0.000878017	7.67E-07	0.0305	0.0007047	0.0105	0.00009168	200	61302	1	0.004	0.0000113	6	0.001	1.27E-06	0.087	0.006	0.0335	0.0009866	535	501340	5	0.0081	0.000052986	12	0.002416667	4.90E-06	0.0945	0.007	0.003571429	0.001	909.2857143	600000	5	0.0081	0.000052126	12	0.003	6.86E-06	0.0845	0.006	0.0325	0.0008091	520	519090	4	0.008625	0.00005827	13	0.002	3.13E-06
CML325	tropical/subtropical	0.0655	0.003	0.037	0.001	285	200000	3	0.010833333	8.89E-05	13	0.002538462	4.14E-06	0.071	0.004	0.0295	0.0007139	415	328610	3	0.008166667	2.51E-05	13	0.002384615	0.000004182	0.074	0.005	0.0345	0.0009401	395	405990	4	0.008	0.000048255	13	0.002615385	4.17E-06	0.0405	78630	0.0165	0.0002137	240	0.001	1	0.0075	0.00004203	7	0.002	2.34E-06	0.0415	0.001	0.0185	0.0002596	230	74040	3	0.003666667	1.04E-05	7	0.001857143	2.27E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0755	0.004	0.035	0.0009725	405	302750	5	0.0084	0.00005289	12	0.00225	4.65E-06	0.076	0.005	0.003	0.0007522	730	424780	5	0.0056	0.000026634	12	0.002	2.90E-06	0.066	0.004	0.0375	0.001	285	300000	8	0.0076875	4.63E-05	18	0.001777778	2.38E-06
JI842	temperate	0.076	0.005	0.029	0.0006597	470	434030	4	0.007875	4.80E-05	12	0.002	2.93E-06	0.0995	0.008	0.032	0.0008455	675	715450	4	0.00725	0.00004135	14	0.002142857	3.20E-06	0.087	0.006	0.034	0.0009114	530	508860	5	0.0082	0.000050328	14	0.002285714	3.59E-06	0.035	90420	0.011	0.0000958	240	0.001	1	0.004	0.00001323	6	0.001	1.33E-06	0.037	0.001	0.0145	0.0001569	225	84310	1	0.005	0.0000204	7	0.002	2.41E-06	0.0335	0.0008776	0.013	0.0001303	205	74730	1	0.005	0.00002379	7	0.0015714	1.53E-06	0.089	0.006	0.0415	0.001	475	500000	7	0.008285714	5.22E-05	17	0.002	3.04E-06	0.08	0.005	0.00347619	0.001	765.2380952	400000	7	0.006642857	3.35E-05	17	0.002058824	3.02E-06	0.082	0.006	0.036	0.001	460	500000	6	0.00775	0.00004754	15	0.001866667	0.00000305
BY4960	temperate	0.09	0.006	0.0375	0.001	525	500000	7	0.008785714	0.00005866	14	0.002357143	3.91E-06	0.0685	0.004	0.0295	0.0006983	390	330170	5	0.0063	0.000032966	13	0.002	3.10E-06	0.0925	0.007	0.039	0.001	535	600000	8	0.0076875	4.87E-05	15	0.002357143	3.36E-06	0.0405	82620	0.015	0.0001738	255	0.001	1	0.0065	0.00003432	6	0.002166667	0.000002608	0.0355	0.001	0.0135	0.0001458	220	85420	2	0.00425	0.000015215	7	0.000957571	1.08E-06	0.0405	0.001	0.015	0.0001743	255	82570	1	0.005	0.00002565	7	0.001571429	1.71E-06	0.0915	0.007	0.041	0.001	505	600000	7	0.008214286	5.21E-05	17	0.002	3.38E-06	0.0805	0.005	0.003047619	0.0008414	774.5238095	415860	6	0.006583333	3.54E-05	16	0.0013125	1.85E-06	0.09	0.006	0.036	0.001	540	500000	6	0.007916667	5.27E-05	15	0.001933333	3.08E-06
