<Traits>	group	WFR	WDR	WFS	WDS	Biomass	WF	WC
GEMS44	temperate	3	0.231	7.867	1.904	2.135	10.867	8.732
GEMS13	temperate	3.415	0.147	3.527	0.234	0.381	6.942	6.561
ES40	temperate	2.6	0.117	4.307	0.267	0.384	6.907	6.523
975-12	temperate	2.355	0.154	4.637	0.787	0.941	6.992	6.05
GEMS49	temperate	2.203	0.161	4.147	0.721	0.881	6.35	5.469
YE478	temperate	2.36	0.142	3.415	0.247	0.389	5.775	5.386
CIMBL119	tropical/subtropical	2.317	0.15	3.385	0.207	0.357	5.702	5.344
05WN230	temperate	2.265	0.161	4.083	0.964	1.125	6.348	5.224
9642	temperate	2.017	0.107	3.52	0.237	0.344	5.537	5.193
BY855	temperate	2.135	0.137	4.087	0.917	1.055	6.222	5.167
TIAN77	temperate	1.73	0.164	4.243	0.731	0.895	5.973	5.079
CML69	tropical/subtropical	2.2	0.127	3.18	0.287	0.414	5.38	4.966
GEMS14	temperate	2.213	0.127	3.107	0.227	0.354	5.32	4.966
CIMBL123	tropical/subtropical	1.443	0.134	4.793	1.167	1.301	6.237	4.935
JI842	temperate	1.747	0.164	3.923	0.827	0.991	5.67	4.679
B73	temperate	1.74	0.157	3.56	0.464	0.621	5.3	4.679
DAN599	tropical/subtropical	1.827	0.157	3.91	0.917	1.075	5.737	4.662
BY4839	temperate	2.33	0.164	3.15	0.734	0.898	5.48	4.582
GEMS56	temperate	1.753	0.194	4.03	1.064	1.258	5.783	4.525
LX9801	temperate	1.897	0.157	3.463	0.697	0.855	5.36	4.505
CIMBL42	tropical/subtropical	1.607	0.134	3.25	0.254	0.388	4.857	4.469
GEMS62	temperate	1.46	0.157	3.497	0.394	0.551	4.957	4.405
R15X1141	temperate	1.543	0.144	3.585	0.584	0.728	5.128	4.4
CIMBL92	tropical/subtropical	1.833	0.124	3.247	0.584	0.708	5.08	4.372
LG001	temperate	1.477	0.151	3.55	0.571	0.721	5.027	4.305
GEMS61	temperate	1.137	0.117	3.82	0.534	0.651	4.957	4.305
GY386	temperate	1.837	0.161	3.023	0.437	0.598	4.86	4.262
GEMS21	temperate	2.073	0.147	2.523	0.19	0.337	4.597	4.259
CIMBL95	tropical/subtropical	1.74	0.131	3.183	0.547	0.678	4.923	4.245
CIMBL48	tropical/subtropical	1.673	0.134	3.097	0.424	0.558	4.77	4.212
CML325	tropical/subtropical	2.225	0.154	2.675	0.544	0.698	4.9	4.202
GEMS4	temperate	1.95	0.149	2.565	0.209	0.358	4.515	4.157
B113	temperate	1.77	0.107	2.663	0.174	0.281	4.433	4.153
CIMBL129	tropical/subtropical	2.157	0.174	2.85	0.684	0.858	5.007	4.149
M153	temperate	1.687	0.114	3.013	0.481	0.595	4.7	4.105
GEMS64	temperate	2.03	0.107	2.323	0.162	0.269	4.353	4.084
CIMBL75	tropical/subtropical	1.283	0.097	3.075	0.237	0.334	4.358	4.024
CML324	tropical/subtropical	2.067	0.087	2.183	0.15	0.237	4.25	4.013
GY1032	temperate	1.89	0.134	2.64	0.391	0.525	4.53	4.005
NAN21-3	tropical/subtropical	1.857	0.171	2.5	0.234	0.405	4.357	3.952
238	temperate	1.76	0.097	2.507	0.222	0.319	4.267	3.948
CIMBL91	tropical/subtropical	1.37	0.092	2.835	0.227	0.319	4.205	3.886
GEMS65	temperate	1.75	0.141	2.443	0.217	0.358	4.193	3.835
CIMBL86	tropical/subtropical	1.827	0.141	2.58	0.457	0.598	4.407	3.809
BY804	temperate	1.94	0.134	2.153	0.164	0.297	4.093	3.796
8902	temperate	1.72	0.124	2.55	0.384	0.508	4.27	3.762
TY4	temperate	1.617	0.131	2.43	0.194	0.325	4.047	3.722
TY11	temperate	3.602	0.074	1.363	0.207	0.281	3.7383	3.7102
CML116	tropical/subtropical	1.55	0.144	2.883	0.579	0.723	4.433	3.71
CIMBL127	tropical/subtropical	1.413	0.067	2.5	0.167	0.234	3.913	3.679
CML323	tropical/subtropical	1.667	0.114	2.26	0.157	0.271	3.927	3.656
CIMBL152	tropical/subtropical	3.60253	0.114	2.197	0.434	0.548	3.6245	3.61902
CML114	tropical/subtropical	1.733	0.154	2.407	0.381	0.535	4.14	3.605
GEMS39	temperate	1.58	0.072	2.21	0.147	0.219	3.79	3.571
CML31	tropical/subtropical	1.737	0.117	2.17	0.22	0.337	3.907	3.569
CIMBL56	tropical/subtropical	1.623	0.147	2.613	0.527	0.675	4.237	3.562
LV28	temperate	1.357	0.104	2.473	0.17	0.274	3.83	3.556
CIMBL81	tropical/subtropical	1.56	0.077	2.165	0.142	0.219	3.725	3.506
CIMBL113	tropical/subtropical	1.777	0.144	2.033	0.244	0.387	3.81	3.423
DH3732	temperate	1.2	0.131	2.707	0.354	0.485	3.907	3.422
GEMS18	temperate	1.565	0.087	2.063	0.137	0.224	3.628	3.404
CML189	tropical/subtropical	1.483	0.114	2.46	0.444	0.558	3.943	3.385
JH96C	temperate	1.48	0.097	2.18	0.187	0.284	3.66	3.376
CML115	tropical/subtropical	1.85	0.157	1.85	0.177	0.334	3.7	3.366
CIMBL77	tropical/subtropical	1.45	0.112	2.215	0.187	0.299	3.665	3.366
CIMBL3	tropical/subtropical	1.277	0.077	2.323	0.167	0.244	3.6	3.356
BY4960	temperate	1.83	0.114	1.767	0.137	0.251	3.597	3.346
GEMS54	temperate	1.36	0.08	2.207	0.15	0.231	3.567	3.336
LIAO159	temperate	1.75	0.137	1.84	0.147	0.284	3.59	3.306
J4112	temperate	1.593	0.111	2.055	0.237	0.348	3.648	3.3
JY01	temperate	1.737	0.164	2.12	0.421	0.585	3.857	3.272
CIMBL124	tropical/subtropical	1.323	0.097	2.21	0.167	0.264	3.533	3.269
CIMBL83	tropical/subtropical	1.347	0.141	2.555	0.507	0.648	3.902	3.254
RY713	temperate	1.37	0.137	2.303	0.294	0.431	3.673	3.242
835B	temperate	1.057	0.084	2.457	0.201	0.285	3.513	3.229
CIMBL151	tropical/subtropical	1.137	0.094	2.773	0.594	0.688	3.91	3.222
CML338	tropical/subtropical	1.19	0.067	2.24	0.157	0.224	3.43	3.206
CIMBL96	tropical/subtropical	1.127	0.121	2.48	0.281	0.401	3.607	3.205
CIMBL63	tropical/subtropical	1.74	0.104	3.307	1.74	1.844	5.047	3.203
GEMS55	temperate	1.323	0.114	2.19	0.219	0.333	3.513	3.18
CIMBL23	tropical/subtropical	1.277	0.087	2.147	0.167	0.254	3.423	3.169
CHUAN48-2	temperate	1.515	0.147	1.98	0.207	0.354	3.495	3.141
GEMS6	temperate	1.373	0.104	2.017	0.171	0.275	3.39	3.115
CIMBL59	tropical/subtropical	1.257	0.111	2.393	0.461	0.571	3.65	3.079
GEMS59	temperate	1.497	0.101	2.107	0.434	0.535	3.603	3.069
B114	temperate	1.31	0.149	2.35	0.444	0.593	3.66	3.067
LK11	temperate	1.007	0.137	2.563	0.367	0.505	3.57	3.065
GEMS1	temperate	1.38	0.131	2.42	0.607	0.738	3.8	3.062
CML361	tropical/subtropical	1.663	0.087	1.667	0.184	0.271	3.33	3.059
CIMBL74	tropical/subtropical	0.977	0.057	2.237	0.127	0.184	3.213	3.029
CML415	tropical/subtropical	1.26	0.097	2.08	0.217	0.314	3.34	3.026
CIMBL143	tropical/subtropical	1.5	0.097	1.7	0.097	0.194	3.2	3.006
GEMS36	temperate	1.5	0.117	1.77	0.174	0.291	3.27	2.979
DAN360	temperate	1.32	0.107	1.937	0.174	0.281	3.257	2.976
